branch_code,สาขา,ที่อยู่,จังหวัด,ภูมิภาค,postcode,ผอ.สาขา,เคาน์เตอร์ขาย,แคชเชียร์โครงสร้าง,โทรศัพท์,เวลาบริการ,line,facebook,เส้นทาง (Google Maps),latitude,longitude,ทำเลเป็นแบบไหน,อยู่บนเส้นถนนแบบไหน,รอบๆมักเป็นอะไร,สถานที่ใกล้เคียง
GH-112,สาขามหาสารคาม,"28 ถนน สารคาม วาปีปทุม,ตลาด, เมืองมหาสารคาม 44000",มหาสารคาม,Esan,44000,092-2471311,092-2477511,092-2477611,1160,07:30 น. - 19:00 น.,https://lin.ee/zXtI7wc,https://bit.ly/FB-GBH-MS,"https://maps.google.com/?q=16.169304,103.309458",16.169304,103.309458,ย่านค้าวัสดุ/ตกแต่งบ้าน,ไม่พบข้อมูล,"คาเฟ่(2), ร้านของตกแต่งบ้าน(1), อู่ซ่อมรถ(1), ธนาคาร(1), ตู้ ATM(1)","โกลบอลเฮ้าส์ สาขามหาสารคาม, ThePrincessHouseCosmetic&Spa, S Xenon-RA, ห้างหุ้นส่วนจำกัด ศรีสงวนชัย มอเตอร์, เวสเทิร์น ยูเนี่ยน, La mayon coffee, ATM กสิกรไทย บมจ.สยามโกลบอลเฮ้าส์ มหาสารคาม, ATM ธนาคารไทยพาณิชย์ : บ.สยามโกลบอลเฮ้าส์ (มหาสารคาม), สมาคมกู้ภัยเทพนิมิตร มหาสารคาม, ทอฝันคอฟฟี่ คาเฟ่"
GH-113,สาขาบ้านไผ่,เลขที่ 77 หมู่ที่ 6 ตำบล/แขวง หัวหนอง อำเภอ/เขต บ้านไผ่ จังหวัด ขอนแก่น 40110,ขอนแก่น,Esan,40110,092-2471325,092-2477525,092-2477625,1160,08:00 น. - 19:00 น.,https://lin.ee/vA014mW,https://bit.ly/33CQEk2,"https://maps.google.com/?q=16.050809,102.7114413",16.050809,102.7114413,ย่านพาณิชย์/ใกล้ห้าง / ย่านค้าวัสดุ/ตกแต่งบ้าน / ใกล้สถานศึกษา / ใกล้ที่พัก/โรงแรม,ไม่พบข้อมูล,"ธนาคาร(2), ตู้ ATM(2), ร้านของตกแต่งบ้าน(1), ซูเปอร์มาร์เก็ต(1), โรงเรียน(1), ที่พัก/โรงแรม(1)","ธนาคารเพื่อการเกษตรและสหกรณ์การเกษตร สาขาบ้านไผ่, ศูนย์จำหน่ายรถยนต์อีซูซุ, โกลบอลเฮ้าส์ บ้านไผ่, บิ๊กซี บ้านไผ่, ธกส. สาขาบ้านไผ่, ATM Bank for Agriculture and Agricultural Cooperatives, โรงเรียนบ้านไผ่ยิ่งยงอุทิศ, ศูนย์วิทยาศาสตร์เพื่อการศึกษาจังหวัดขอนแก่น กรมส่งเสริมการเรียนรู้ กระทรวงศึกษาธิการ, วิชี่ ไทยแลนด์ ร้านบริษัท บิ๊กซีซูเปอร์เซ็นเตอร์ จำกัด, ATM K- Bank"
GH-114,สาขาหนองคาย,365 หมู่ 6 ตำบลหนองกอมเกาะ อำเภอเมืองหนองคาย จังหวัดหนองคาย 43000,หนองคาย,Esan,43000,092-2471312,092-2477512,092-2477612,1160,08:00 น. - 19:00 น.,https://lin.ee/uTB96Ts,https://bit.ly/FB-GBH-NK,"https://maps.google.com/?q=17.833740,102.752140",17.833740,102.752140,ย่านค้าวัสดุ/ตกแต่งบ้าน,ไม่พบข้อมูล,"ตู้ ATM(3), ธนาคาร(2), ร้านของตกแต่งบ้าน(1), อู่ซ่อมรถ(1)","ATM กสิกรไทย บมจ.สยามโกลบอลเฮ้าส์ สาขาหนองคาย, โกลบอลเฮ้าส์ หนองคาย, ATM K-Bank, บริษัท พิจิตรเพชรยานยนต์ จำกัด, ATM Krung Thai Bank, ATM กสิกรไทย แม็คโคร หนองคาย, ฟอร์ดฑีฆเจริญ สาขา หนองคาย"
GH-115,สาขานครราชสีมา,493 หมู่ที่ 2 ตำบลบ้านเกาะ อำเภอเมืองนครราชสีมา จังหวัดนครราชสีมา 30000,นครราชสีมา,Esan,30000,092-2471313,092-2477513,092-2477613,1160,07:30 น. - 20:00 น.,https://lin.ee/oHeCORQ,https://bit.ly/FB-GBH-NS,"https://maps.google.com/?q=15.006401,102.126459",15.006401,102.126459,ย่านค้าวัสดุ/ตกแต่งบ้าน / ใกล้สถานศึกษา / ใกล้ปั๊มน้ำมัน / ใกล้ที่พัก/โรงแรม,ถนน มิตรภาพ (ถนน),"ที่พัก/โรงแรม(4), โรงเรียน(2), วัด/ศาสนสถาน(1), ร้านของตกแต่งบ้าน(1), อู่ซ่อมรถ(1), ปั๊มน้ำมัน(1)","ยู-สบาย พาร์ค โฮเทล & รีสอร์ท, วันดีดีรีสอร์ท โคราช, วัดสระบัวเกลื่อน, Baan Le Vimaan resort (บ้านเลอวิมาน รีสอร์ท), โรงเรียนบึงพญาปราบ, โกลบอลเฮ้าส์ นครราชสีมา, บริษัท โตโยต้าทองรวยสีมา จำกัด (จอหอ), ศูนย์ซ่อมสีและตัวถัง สาขา-โคราช เอกสหกรุ๊ป Ford-Mazda-Nissan, ฟอร์ด โคราช-จอหอ เอกสหกรุ๊ป, GWM Korat"
GH-116,สาขาสกลนคร,444  ถนนสกลนคร-นาแก ตำบลธาตุเชิงชุม อำเภอเมืองสกลนคร      จังหวัดสกลนคร 47000,สกลนคร,Esan,47000,092-2471314,092-2477514,092-2477614,1160,08:00 น. - 19:00 น.,https://lin.ee/njupD0h,https://bit.ly/FB-GBH-SN,"https://maps.google.com/?q=17.128782,104.139370",17.128782,104.139370,ย่านค้าวัสดุ/ตกแต่งบ้าน / ย่านชุมชน/ตลาด,ไม่พบข้อมูล,"คาเฟ่(3), ตู้ ATM(2), ร้านของตกแต่งบ้าน(1), ร้านฮาร์ดแวร์(1), วัด/ศาสนสถาน(1), อู่ซ่อมรถ(1), ร้านอาหาร(1)","โกลบอลเฮ้าส์ สกลนคร, อินทนิลสปา, บริษัท ห้างกระจกตังน้ำ จำกัด สาขาสกลนคร, ตู้ ATM ไทยพาณิชย์, La Mayon coffee สาขาสกลนคร, บมจ.สยามโกลบอลเฮ้าส์ (สกลนคร), ภาษามือ coffee ร้านกแฟคนหูหนวก, สตางค์ คาเฟ่ แอนด์ เรสเตอรองท์, วัดบ้านนาอ้อย, พีทีที ยานยนต์ - ช่างแป๊ปซี่"
GH-117,สาขานครพนม,147/3 ถนนประชาร่วมมิตร ตำบลหนองญาติ อำเภอเมืองนครพนม จังหวัดนครพนม 48000,นครพนม,Esan,48000,092-2471315,092-2477515,092-2477615,1160,08:00 น. - 19:00 น.,https://lin.ee/1Zx1FXT,https://bit.ly/FB-GBH-NN,"https://maps.google.com/?q=17.376547,104.786851",17.376547,104.786851,ย่านค้าวัสดุ/ตกแต่งบ้าน / ย่านชุมชน/ตลาด / ใกล้สถานศึกษา / ใกล้ปั๊มน้ำมัน / ใกล้ที่พัก/โรงแรม,ถนนเลี่ยงเมือง (ถนน),"ร้านอาหาร(7), ที่พัก/โรงแรม(2), อู่ซ่อมรถ(1), ร้านของตกแต่งบ้าน(1), โรงเรียน(1), ร้านอิเล็กทรอนิกส์(1), ปั๊มน้ำมัน(1)","โรงแรมเดอะริเวอร์ นครพนม, ประยูรปลาเผา, สวนอาหารสวนไผ่ริมโขง, อู่เฉลิมการช่าง, โกลบอลเฮ้าส์ นครพนม, โรงเรียนบ้านน้อยใต้, ร้านนครแซทคอม, PTT Station ปตท.เลี่ยงเมืองนครพนม (น้ำมัน+EV) หจก. พนมบริการ, 7-Eleven สาขา PTTOR เลี่ยงเมืองนครพนม (04392), Quality Foods Deli Shop"
GH-118,สาขาชัยภูมิ,เลขที่ 8 หมู่ที่ 11 ตำบล/แขวง หนองนาแซง อำเภอ/เขต เมืองชัยภูมิ จังหวัด ชัยภูมิ 36000,ชัยภูมิ,Esan,36000,092-2471316,092-2477516,092-2477616,1160,07:30 น. - 19:00 น.,https://lin.ee/4AidXEm,https://bit.ly/FB-GBH-CP,"https://maps.google.com/?q=15.7636941,102.022294",15.7636941,102.022294,ย่านค้าวัสดุ/ตกแต่งบ้าน / ย่านชุมชน/ตลาด / ใกล้ปั๊มน้ำมัน / ใกล้ที่พัก/โรงแรม,ไม่พบข้อมูล,"ร้านของตกแต่งบ้าน(3), อู่ซ่อมรถ(2), คาเฟ่(2), ร้านอาหาร(2), ที่พัก/โรงแรม(1), ปั๊มน้ำมัน(1)","โรงแรมบีบีเอ็ม, บริษัท ค็อกพิท สำราญการยาง จำกัด, โกลบอลเฮ้าส์ ชัยภูมิ, บ้านกรองน้ำ ชัยภูมิ, Inthanin Coffee, ปั๊มน้ำมันบางจาก - ชัยภูมิ, โฮมโปร ชัยภูมิ, La Mayon coffee (ลามายอน), ร้านวนิดาลาบก้อย, เกดไก่ย่าง ลาบก้อย ตามสั่ง"
GH-119,สาขาสุรินทร์,88 หมู่ที่ 13 ตำบลเฉนียง อำเภอเมืองสุรินทร์ จังหวัดสุรินทร์ 32000,สุรินทร์,Esan,32000,092-2471317,092-2477517,092-2477617,1160,07:30 น. - 19:00 น.,https://lin.ee/g94P2NW,https://bit.ly/FB-GBH-SR,"https://maps.google.com/?q=14.850555,103.472854",14.850555,103.472854,ย่านค้าวัสดุ/ตกแต่งบ้าน / ใกล้สถานศึกษา / ใกล้ที่พัก/โรงแรม,ไม่พบข้อมูล,"ร้านของตกแต่งบ้าน(2), ที่พัก/โรงแรม(2), ตู้ ATM(2), วัด/ศาสนสถาน(1), โรงเรียน(1), คาเฟ่(1)","วัดป่าโยธาประสิทธิ์, สำนักงานประกันสังคมจังหวัดสุรินทร์, พิพิธภัณฑ์สถานแห่งชาติสุรินทร์, โกลบอลเฮ้าส์ สุรินทร์, หจก.เกษมซีเมนต์บล็อก, มาสด้าสุรินทร์, โรงเรียนบ้านหนองเต่า, เจ้าสัว รีสอร์ท, โรงแรม สวนป่ารีสอร์ท, ATM กรุงไทย ยืนยันตัวตน (EDC) บมจ.สยามโกลบอลเฮ้าส์ (สุรินทร์)"
GH-120,สาขาพิษณุโลก,9/9 หมู่ที่ 7 ตำบลวัดจันทร์ อำเภอเมืองพิษณุโลก จังหวัดพิษณุโลก 65000,พิษณุโลก,Northern,65000,092-2471318,092-2477518,092-2477618,1160,07:30 น. - 20:00 น.,https://lin.ee/93tojb9,https://bit.ly/FB-GBH-PL,"https://maps.google.com/?q=16.811304,100.228059",16.811304,100.228059,ย่านค้าวัสดุ/ตกแต่งบ้าน / ย่านชุมชน/ตลาด / ใกล้ที่พัก/โรงแรม,ไม่พบข้อมูล,"ร้านของตกแต่งบ้าน(3), ที่พัก/โรงแรม(2), ร้านอาหาร(2), ร้านอิเล็กทรอนิกส์(1), อู่ซ่อมรถ(1), คาเฟ่(1)","โรงแรมวนารมย์, บริษัท พี.แอล.อีเลคทริคอล เทรดดิ้ง จำกัด, โกลบอลเฮ้าส์ พิษณุโลก, เมเจอร์ เฟอร์นิเจอร์ มอลล์ พิษณุโลก Major Furniture Mall phitsanulok, คอนเน็คชั่น, บริษัท สแควเวฟ เน็ตเวอร์ค กรุ๊ป จำกัด, สวนบ้านคลอง, บริษัท เอ เค เมทัล ชีท จำกัด, โรงแรมฮ็อป อินน์ พิษณุโลก, อู่ วีไอพีปรีดาซุปเปอร์คาร์"
GH-121,สาขาลำพูน,เลขที่ 161 หมู่ที่ 5 ตำบล/แขวง เวียงยอง อำเภอ/เขต เมืองลำพูน จังหวัด ลำพูน 51000,ลำพูน,Northern,51000,092-2471319,092-2477519,092-2477619,1160,08:00 น. - 19:00 น.,https://lin.ee/3D5d4Z8,https://bit.ly/FB-GBH-LP,"https://maps.google.com/?q=18.561409,99.033944",18.561409,99.033944,ย่านพาณิชย์/ใกล้ห้าง / ย่านค้าวัสดุ/ตกแต่งบ้าน / ใกล้ปั๊มน้ำมัน,ไม่พบข้อมูล,"ธนาคาร(2), ร้านของตกแต่งบ้าน(2), ตู้ ATM(2), วัด/ศาสนสถาน(1), ปั๊มน้ำมัน(1), ซูเปอร์มาร์เก็ต(1)","วัดแม่สารบ้านหลุก, ATM กสิกรไทย กาดจตุจักรลำพูน(ป่าสัก), สหพานิช ลำพูน, โกลบอลเฮ้าส์ สาขาลำพูน, ปั๊มน้ำมันบางจาก - บริษัท เวียงออยล์ จำกัด, DHL Global Forwarding, คลินิก หมอทรงศักดิ์, หมูอินเตอร์ สาขาลำพูน : หมูสด ไก่สด ไข่ อาหารแช่แข็ง และเครื่องปรุง, ATM Bangkok Bank, ATM K-Bank"
GH-122,สาขามุกดาหาร,35/8 ถนนชยางกูร ก ตำบลมุกดาหาร อำเภอเมืองมุกดาหาร จังหวัดมุกดาหาร 49000,มุกดาหาร,Esan,49000,092-2471320,092-2477520,092-2477620,1160,08:00 น. - 19:00 น.,https://lin.ee/wedI0KM,https://bit.ly/FB-GBH-MD,"https://maps.google.com/?q=16.535158,104.702566",16.535158,104.702566,ย่านพาณิชย์/ใกล้ห้าง / ย่านค้าวัสดุ/ตกแต่งบ้าน / ใกล้สถานศึกษา / ใกล้ที่พัก/โรงแรม,ถนน ชยางกูร (ถนน),"ร้านของตกแต่งบ้าน(2), โรงเรียน(1), อู่ซ่อมรถ(1), วัด/ศาสนสถาน(1), ฟิตเนส(1), ซูเปอร์มาร์เก็ต(1), ที่พัก/โรงแรม(1)","โรงเรียน ที โอ เอ วิทยา (โรงเรียนเทศบาล 1 วัดคำสายทอง), สหกรณ์ออมทรัพย์ครูมุกดาหาร จก, บจก.ศักดาอะไหล่ยนต์(1991), คริสตจักรมุกดาหาร, แสงอุดมไลท์ติ้งเซ็นเตอร์ สาขามุกดาหาร, ค่ายมวยเยาวราชมุกดาหาร-วังทองมวยไทย, การประปาส่วนภูมิภาค สาขามุกดาหาร, แม็คโคร มุกดาหาร, โรงแรมบ้านดาหลา Bandahla Hotel, ติดตั้งแอร์"
